date,0P0000KU3M.F,LU1313770536
2022-10-06,229.84,7552.64
2022-10-07,225.23,7525.68
2022-10-10,223.76,7493.46
2022-10-11,222.61,7494.49
2022-10-12,221.8,7486.15
2022-10-13,222.62,7470.28
2022-10-14,223.92,7464.38
2022-10-17,227.69,7479.19
2022-10-18,229.56,7487.98
2022-10-19,228.58,7458.12
2022-10-20,230.2,7454.06
2022-10-21,228.85,7454.96
2022-10-24,231.85,7476.2
2022-10-25,236.46,7514.34
2022-10-26,237.58,7536.16
2022-10-27,235.6,7589.4
2022-10-28,235.58,7554.38
2022-10-31,235.17,7563.84
2022-11-02,233.0,7574.01
2022-11-03,229.76,7548.15
2022-11-04,234.59,7548.57
2022-11-07,236.51,7541.7
2022-11-08,239.17,7556.02
2022-11-09,238.59,7584.69
2022-11-10,247.8,7648.84
2022-11-11,,7641.98
2022-11-14,249.11,7651.47
2022-11-15,249.45,7666.13
2022-11-16,245.72,7695.84
2022-11-17,245.24,7685.8
2022-11-18,247.2,7694.81
2022-11-21,246.97,7704.87
2022-11-22,247.52,7718.64
2022-11-23,249.56,7733.77
2022-11-24,250.87,7769.84
2022-11-25,250.64,7739.97
2022-11-28,248.96,7738.01
2022-11-29,247.25,7762.0
2022-11-30,249.65,7758.76
2022-12-01,252.49,7818.92
2022-12-02,252.27,7808.84
2022-12-05,250.88,7796.73
2022-12-06,248.64,7840.71
2022-12-07,247.73,7847.61
2022-12-08,247.61,7835.4
2022-12-09,248.98,7798.84
2022-12-12,248.42,7791.5
2022-12-13,251.98,7811.11
2022-12-14,251.32,7816.4
2022-12-15,244.26,7755.96
2022-12-16,241.13,7721.8
2022-12-19,240.43,7714.14
2022-12-20,238.79,7683.1
2022-12-21,242.07,7682.18
2022-12-22,239.97,7673.9
2022-12-23,240.07,7657.38
2022-12-27,240.4,
2022-12-28,239.41,7639.73
2022-12-29,242.04,7655.28
2022-12-30,239.56,7623.69
2023-01-02,241.91,7654.5
2023-01-03,243.26,7671.58
2023-01-04,247.32,7712.42
2023-01-05,246.46,7699.45
2023-01-06,249.52,7732.0
2023-01-09,252.51,7734.25
2023-01-10,250.97,7716.73
2023-01-11,252.9,7753.62
2023-01-12,253.99,7783.25
2023-01-13,256.1,7794.08
2023-01-16,257.18,7799.34
2023-01-17,257.94,7851.37
2023-01-18,258.49,7861.93
2023-01-19,253.76,7843.52
2023-01-20,254.31,7815.52
2023-01-23,255.81,7810.33
2023-01-24,255.64,7829.76
2023-01-25,254.46,7836.66
2023-01-26,256.07,7826.76
2023-01-27,257.24,7824.64
2023-01-30,255.83,7795.95
2023-01-31,255.89,7806.29
2023-02-01,257.07,7815.3
2023-02-02,263.36,7920.2
2023-02-03,265.24,7915.79
2023-02-06,262.4,7869.64
2023-02-07,260.87,7851.87
2023-02-08,260.37,7845.52
2023-02-09,260.53,7861.66
2023-02-10,257.75,7831.01
2023-02-13,259.64,7817.7
2023-02-14,259.86,7793.6
2023-02-15,261.85,7780.08
2023-02-16,263.05,7781.35
2023-02-17,262.65,7785.58
2023-02-20,262.82,7779.08
2023-02-21,261.41,7745.24
2023-02-22,260.52,7740.1
2023-02-23,261.3,7759.45
2023-02-24,259.43,7735.67
2023-02-27,262.17,7722.21
2023-02-28,261.89,7696.15
2023-03-01,261.71,7678.66
2023-03-02,262.61,7668.41
2023-03-03,265.08,7676.75
2023-03-06,265.36,7669.89
2023-03-07,263.44,7685.82
2023-03-08,264.0,7693.07
2023-03-09,263.74,7698.12
2023-03-10,260.42,7725.98
2023-03-13,255.41,7763.8
2023-03-14,258.98,7699.11
2023-03-15,252.59,7775.25
2023-03-16,256.76,7699.67
2023-03-17,253.88,7745.32
2023-03-20,255.26,7701.41
2023-03-21,257.62,7709.06
2023-03-22,257.8,7719.26
2023-03-23,258.73,7757.03
2023-03-24,255.13,7755.76
2023-03-27,256.29,7720.48
2023-03-28,255.04,7697.27
2023-03-29,258.62,7692.2
2023-03-30,262.12,7691.6
2023-03-31,264.05,7731.35
2023-04-03,262.96,7758.97
2023-04-04,262.78,7770.05
2023-04-05,259.74,7786.92
2023-04-06,260.3,7785.82
2023-04-11,262.18,7745.06
2023-04-12,262.69,7725.8
2023-04-13,264.47,7733.76
2023-04-14,265.2,7719.88
2023-04-17,264.11,7724.14
2023-04-18,265.97,7734.08
2023-04-19,264.94,7720.48
2023-04-20,263.98,7735.96
2023-04-21,265.6,7724.92
2023-04-24,265.15,7715.39
2023-04-25,263.76,7750.43
2023-04-26,262.46,7736.17
2023-04-27,263.99,7722.95
2023-04-28,266.21,7792.69
2023-05-02,265.31,7810.87
2023-05-03,265.89,7789.11
2023-05-04,263.44,7810.91
2023-05-05,266.18,7781.22
2023-05-08,,7771.91
2023-05-09,265.61,
2023-05-10,265.39,7780.38
2023-05-11,265.88,7799.97
2023-05-12,266.58,7788.16
2023-05-15,267.05,7777.77
2023-05-16,266.47,7755.62
2023-05-17,265.72,7746.37
2023-05-19,269.25,7741.96
2023-05-22,270.04,7734.02
2023-05-23,266.69,7736.35
2023-05-24,262.9,7731.3
2023-05-25,263.17,7718.42
2023-05-26,266.3,7713.61
2023-05-30,264.17,7779.9
2023-05-31,262.85,7801.6
2023-06-01,264.47,7811.31
2023-06-02,267.8,7794.21
2023-06-05,266.83,7777.16
2023-06-06,268.08,7785.74
2023-06-07,268.16,7765.67
2023-06-08,268.1,7786.51
2023-06-09,267.57,7798.01
2023-06-12,270.32,7804.29
2023-06-13,272.13,7796.09
2023-06-14,273.21,7787.18
2023-06-15,272.46,7758.84
2023-06-16,274.0,7768.79
2023-06-19,271.08,7760.81
2023-06-20,269.5,7790.79
2023-06-21,267.5,7777.98
2023-06-22,266.27,7751.47
2023-06-23,260.95,
2023-06-26,261.44,7801.77
2023-06-27,261.94,7781.88
2023-06-28,264.84,7797.12
2023-06-29,265.82,7770.46
2023-06-30,268.12,7779.38
2023-07-03,267.18,7774.22
2023-07-04,267.5,7784.07
2023-07-05,265.21,7784.23
2023-07-06,258.73,7739.96
2023-07-07,260.67,7741.19
2023-07-10,260.9,7738.89
2023-07-11,263.24,7740.99
2023-07-12,267.52,7787.59
2023-07-13,269.83,7828.52
2023-07-14,,7820.05
2023-07-17,268.47,7827.05
2023-07-18,269.05,7863.42
2023-07-19,270.26,7858.3
2023-07-20,269.65,7842.6
2023-07-21,270.02,7850.09
2023-07-24,269.98,7867.92
2023-07-25,270.78,7868.63
2023-07-26,268.99,7848.11
2023-07-27,273.4,7864.67
2023-07-28,272.44,
2023-07-31,272.34,7873.36
2023-08-01,271.33,7860.4
2023-08-02,268.71,7867.53
2023-08-03,266.15,7850.52
2023-08-04,266.81,7858.53
2023-08-07,266.94,7854.82
2023-08-08,267.27,7887.92
2023-08-09,267.03,7879.84
2023-08-10,269.44,7871.5
2023-08-11,266.44,7844.16
2023-08-14,266.56,7837.04
2023-08-16,264.77,7827.1
2023-08-17,261.76,7806.9
2023-08-18,260.39,7828.73
2023-08-21,260.92,7800.3
2023-08-22,262.75,7818.68
2023-08-23,264.14,7865.05
2023-08-24,262.26,7873.25
2023-08-25,261.98,7853.72
2023-08-28,264.7,7852.33
2023-08-29,267.08,7867.64
2023-08-30,266.76,7858.75
2023-08-31,266.6,7890.35
2023-09-01,266.42,7874.92
2023-09-04,266.04,7864.73
2023-09-05,264.76,7856.63
2023-09-06,263.23,7839.66
2023-09-07,261.3,7852.48
2023-09-08,261.88,7860.17
2023-09-11,261.68,7863.04
